;;;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt
01.01.2022;03359;Stade, Landkreis;814;4071;3576;22214;17794;18261;8536;2646;1727;79639;214;1483;3287;5865;14249;11917;3816;1208;439;42478;6;67;86;367;200;112;63;49;12;962;-;-;-;-;-;-;-;-;1441;1441;-;-;1;37;155;451;704;1094;1;2443;-;-;-;-;7;75;222;845;1;1150;-;-;-;9;11;-;-;-;-;20;1034;5621;6950;28492;32416;30816;13341;5842;3621;128133
01.01.2022;03360;Uelzen, Landkreis;417;2089;1680;10654;7897;7911;3989;1167;705;36509;106;762;1737;2742;6348;4956;1763;474;232;19120;3;39;40;161;72;43;19;9;8;394;-;-;-;-;-;-;-;-;649;649;-;-;-;15;47;104;236;286;-;688;-;-;1;-;2;29;120;442;-;594;-;-;-;3;4;-;-;-;1;8;526;2890;3458;13575;14370;13043;6127;2378;1595;57962
01.01.2022;03361;Verden, Landkreis;632;2899;2503;16089;12377;11868;5612;1642;1299;54921;115;792;2115;4133;9852;8149;2827;1055;269;29307;9;73;82;322;150;106;55;23;11;831;-;-;-;-;-;-;-;-;1007;1007;-;-;-;19;77;171;492;648;1;1408;-;-;-;-;5;53;154;598;-;810;-;1;-;6;6;-;-;-;1;14;756;3765;4700;20569;22467;20347;9140;3966;2588;88298
01.01.2022;03401;Delmenhorst, kreisfreie Stadt;234;1490;1540;8786;6040;6078;2831;972;677;28648;34;331;1011;1952;4102;3161;967;362;77;11997;2;36;52;249;83;42;26;14;3;507;-;-;-;-;-;-;-;-;360;360;-;-;-;11;91;203;257;504;-;1066;-;-;-;-;4;22;73;330;-;429;-;-;-;2;6;1;-;-;2;11;270;1857;2603;11000;10326;9507;4154;2182;1119;43018
01.01.2022;03402;Emden, kreisfreie Stadt;127;743;720;4851;3586;3846;1847;551;259;16530;37;228;579;995;2360;2177;848;271;79;7574;-;15;20;150;71;31;18;8;-;313;-;-;-;-;-;-;-;-;435;435;-;-;-;5;17;25;103;156;-;306;-;-;-;-;-;21;37;182;-;240;-;-;-;2;1;-;-;-;1;4;164;986;1319;6003;6035;6100;2853;1168;774;25402
01.01.2022;03403;Oldenburg (Oldenburg), kreisfreie Stadt;717;2989;2655;15341;11386;12499;5701;1813;1706;54807;172;834;2034;3826;9414;8700;3489;1209;429;30107;8;78;76;433;257;215;133;22;12;1234;-;-;-;-;-;-;-;-;1234;1234;-;-;-;25;127;300;476;866;1;1795;-;-;-;-;6;67;370;1031;1;1475;-;-;-;5;6;-;-;-;9;20;897;3901;4765;19630;21196;21781;10169;4941;3392;90672
01.01.2022;03404;Osnabrück, kreisfreie Stadt;729;3182;2745;15623;11117;11753;5549;2050;1361;54109;67;581;1713;3568;7230;7673;4511;1698;250;27291;8;81;84;405;133;88;49;29;10;887;-;-;-;-;-;-;-;-;1346;1346;-;-;-;41;171;368;759;962;1;2302;-;-;-;-;3;96;261;970;1;1331;1;-;-;1;3;-;-;-;8;13;805;3844;4542;19638;18657;19978;11129;5709;2977;87279
01.01.2022;03405;Wilhelmshaven, kreisfreie Stadt;219;1475;1600;8281;5842;6266;2885;1015;391;27974;68;294;912;1536;3634;3036;906;282;109;10777;2;36;58;252;92;49;35;21;5;550;-;-;-;-;-;-;-;-;303;303;-;-;-;7;40;104;187;346;-;684;-;-;-;-;-;18;58;162;-;238;-;-;-;6;5;-;-;-;4;15;289;1805;2570;10082;9613;9473;4071;1826;812;40541
01.01.2022;03451;Ammerland, Landkreis;509;2461;2260;13820;10735;11087;5155;1336;1422;48785;146;920;2203;4030;9818;8536;2706;749;312;29420;4;61;77;448;191;106;73;21;14;995;-;-;-;-;-;-;-;-;928;928;-;-;-;18;72;163;348;541;-;1142;-;-;-;-;2;50;151;450;-;653;-;-;-;7;15;-;1;-;1;24;659;3442;4540;18323;20833;19942;8434;3097;2677;81947
01.01.2022;03452;Aurich, Landkreis;759;4174;3588;22207;15919;15820;7385;2160;1466;73478;202;1409;3370;5963;14021;11330;3118;853;441;40707;7;129;164;904;365;161;75;27;17;1849;-;-;-;-;-;-;-;-;1575;1575;-;-;-;10;86;233;386;629;-;1344;-;-;-;-;6;81;178;519;-;784;-;-;-;5;8;-;-;-;1;14;968;5712;7122;29089;30405;27625;11142;4188;3500;119751
01.01.2022;03453;Cloppenburg, Landkreis;580;2833;2645;16718;10673;9681;4552;1087;1565;50334;117;1305;3547;8098;17859;14176;3480;1115;478;50175;4;89;112;512;231;85;52;31;30;1146;-;-;-;-;-;-;-;-;1121;1121;-;-;-;10;53;140;424;465;1;1093;-;-;-;-;3;45;151;645;-;844;-;-;-;3;9;-;-;-;-;12;701;4227;6304;25341;28828;24127;8659;3343;3195;104725
01.01.2022;03454;Emsland, Landkreis;1015;4795;4700;32024;23619;23254;11042;2643;2390;105482;244;1783;5531;12761;32717;27232;9153;2475;616;92512;16;211;266;1213;377;184;103;55;37;2462;-;-;-;-;-;-;-;-;2588;2588;-;-;2;29;148;331;1080;1150;1;2741;-;-;-;-;14;94;383;1462;-;1953;-;-;-;6;8;-;-;-;1;15;1275;6789;10499;46033;56883;51095;21761;7785;5633;207753
01.01.2022;03455;Friesland, Landkreis;468;2490;2238;12114;8854;9127;4228;1257;998;41774;116;813;1924;3044;7505;6409;1846;480;284;22421;6;78;106;487;176;86;83;65;8;1095;-;-;-;-;-;-;-;-;761;761;-;-;-;8;53;166;265;416;-;908;-;-;-;-;8;42;135;358;1;544;-;-;-;7;8;-;-;-;1;16;590;3381;4268;15660;16604;15830;6557;2576;2053;67519
01.01.2022;03456;Grafschaft Bentheim, Landkreis;447;2073;2085;12328;9320;9603;4587;1168;897;42508;84;705;2424;5799;13788;11682;3659;1029;222;39392;12;144;204;794;255;120;53;50;25;1657;-;-;-;-;-;-;-;-;1261;1261;-;-;-;14;109;175;488;514;1;1301;-;-;-;-;7;63;177;733;-;980;-;-;-;4;7;-;-;-;1;12;543;2922;4713;18939;23486;21643;8964;3494;2407;87111
01.01.2022;03457;Leer, Landkreis;591;3632;3593;20028;13167;12440;5681;1593;1175;61900;173;1304;3392;6171;13494;10855;2905;814;423;39531;7;157;181;816;305;138;71;41;21;1737;-;-;-;-;-;-;-;-;1141;1141;-;-;-;10;80;180;386;562;-;1218;-;-;-;-;2;49;180;491;-;722;-;-;-;4;12;1;-;-;2;19;771;5093;7166;27029;27060;23663;9223;3501;2762;106268
01.01.2022;03458;Oldenburg, Landkreis;574;2848;2444;14709;11025;11302;5168;1319;1225;50614;129;877;2308;4476;10349;8871;2704;878;305;30897;7;79;108;440;261;166;86;51;12;1210;-;-;-;-;-;-;-;-;1005;1005;-;-;-;14;97;222;440;590;-;1363;-;-;-;-;5;51;147;520;-;723;-;-;-;9;8;-;-;-;2;19;710;3804;4860;19648;21745;20612;8545;3358;2549;85831
01.01.2022;03459;Osnabrück, Landkreis;1710;8446;7164;44039;31146;30179;13870;3753;3237;143544;219;2112;5799;12246;27074;22876;7673;2384;776;81159;11;281;225;1134;281;201;104;38;32;2307;-;-;-;-;-;-;-;-;2805;2805;-;-;-;60;251;591;1289;1681;-;3872;-;-;-;-;10;173;472;1378;1;2034;-;-;-;9;19;2;-;-;4;34;1940;10839;13188;57488;58781;54022;23408;9234;6855;235755
01.01.2022;03460;Vechta, Landkreis;566;2534;2292;14821;10261;9939;4499;1095;1138;47145;105;871;2331;5653;13055;11722;3603;1059;288;38687;6;66;87;355;123;58;29;20;9;753;-;-;-;-;-;-;-;-;1275;1275;-;1;-;19;105;249;538;609;-;1521;-;-;-;-;8;69;182;697;-;956;-;-;-;4;5;-;-;-;-;9;677;3472;4710;20852;23557;22037;8851;3480;2710;90346
01.01.2022;03461;Wesermarsch, Landkreis;367;1800;1846;9963;7126;6967;3048;903;677;32697;93;638;1667;2941;6525;5428;1491;396;204;19383;5;51;58;368;178;97;81;33;4;875;-;-;-;-;-;-;-;-;482;482;-;-;-;7;28;113;253;292;-;693;-;-;-;-;2;26;67;201;1;297;-;-;-;8;3;1;-;-;1;13;465;2489;3571;13287;13862;12632;4940;1825;1369;54440
01.01.2022;03462;Wittmund, Landkreis;315;1383;1192;6905;4676;4758;2235;591;590;22645;63;464;1147;2052;4559;3500;920;223;160;13088;1;27;54;304;79;40;28;19;6;558;-;-;-;-;-;-;-;-;326;326;-;-;-;5;22;93;136;205;-;461;-;-;-;-;3;14;39;141;-;197;-;-;-;-;3;-;-;-;-;3;379;1874;2393;9266;9342;8405;3358;1179;1082;37278
01.01.2022;04011;Bremen, kreisfreie Stadt;2240;8872;8971;46940;32308;33169;15841;5616;5139;159096;350;2054;5648;10900;21403;19350;9103;3979;939;73726;17;211;229;1032;404;261;132;56;32;2374;-;-;-;-;-;-;-;-;2581;2581;-;-;-;116;396;828;1782;3002;4;6128;-;-;-;-;15;150;660;2519;2;3346;-;-;2;12;17;-;1;-;8;40;2607;11137;14850;59000;54543;53758;27519;15172;8705;247291
01.01.2022;04012;Bremerhaven, kreisfreie Stadt;228;1630;1812;10444;7362;7339;3704;1176;400;34095;40;384;1265;2518;4857;3907;1575;551;101;15198;1;31;52;226;106;42;40;15;8;521;-;-;-;-;-;-;-;-;464;464;-;-;-;33;128;267;339;530;-;1297;-;-;-;-;2;22;109;317;1;451;-;-;-;2;11;-;-;-;-;13;269;2045;3129;13223;12466;11577;5767;2589;974;52039
01.01.2022;05111;Düsseldorf, kreisfreie Stadt;3391;10520;9519;47719;36031;42981;25094;9395;7205;191855;223;1722;5202;10309;22930;27385;22307;7603;892;98573;36;232;337;1240;450;428;221;76;50;3070;-;-;-;-;-;-;-;-;4572;4572;-;1;1;122;532;1411;4186;5566;5;11824;-;-;-;-;21;341;2296;6184;2;8844;-;-;-;15;32;1;-;-;21;69;3650;12475;15059;59405;59996;72547;54104;28824;12747;318807
01.01.2022;05112;Duisburg, kreisfreie Stadt;1794;8554;10083;51530;33123;33734;16913;4998;3827;164556;107;1199;4876;10013;17177;15401;6189;2192;579;57733;20;374;628;2319;717;368;203;105;48;4782;-;-;-;-;-;-;-;-;1758;1758;-;-;-;68;282;710;1493;2312;2;4867;-;-;-;-;8;124;452;1571;-;2155;-;-;-;5;15;1;-;-;16;37;1921;10127;15587;63935;51322;50338;25250;11178;6230;235888
01.01.2022;05113;Essen, kreisfreie Stadt;2344;10504;10901;56321;42042;46703;25885;7892;4337;206929;98;1375;4348;8672;18419;18985;11821;3915;516;68149;26;321;483;1850;650;444;286;106;66;4232;-;-;-;-;-;-;-;-;3339;3339;-;-;-;92;366;973;2421;3976;-;7828;-;-;-;-;10;317;1297;3493;-;5117;-;-;-;18;20;1;-;-;13;52;2468;12200;15732;66953;61507;67423;41710;19382;8271;295646
01.01.2022;05114;Krefeld, kreisfreie Stadt;1012;4405;4442;24242;16349;18057;8904;2954;2088;82453;88;685;2265;4499;9382;8854;3906;1276;294;31249;13;154;222;956;365;221;86;54;27;2098;-;-;-;1;-;-;-;-;1314;1315;-;-;-;33;136;377;830;1457;-;2833;-;-;-;-;13;100;327;1063;5;1508;-;-;-;4;12;1;-;-;7;24;1113;5244;6929;29735;26257;27610;14053;6804;3735;121480
01.01.2022;05116;Mönchengladbach, kreisfreie Stadt;1234;5256;5645;28235;19547;21091;10207;3137;2444;96796;102;787;2826;5977;11339;9833;4426;1348;397;37035;24;195;320;1121;357;236;116;64;35;2468;-;-;-;-;-;-;-;-;1504;1504;-;2;-;45;190;364;915;1303;-;2819;-;-;-;-;4;80;448;1277;-;1809;-;-;-;13;12;1;-;-;6;32;1360;6240;8791;35391;31449;31605;16112;7129;4386;142463
01.01.2022;05117;Mülheim an der Ruhr, kreisfreie Stadt;909;3691;3534;18095;13995;15423;8186;2594;1684;68111;49;521;1566;2897;6413;5955;2843;752;210;21206;9;106;146;504;193;95;45;33;17;1148;-;-;-;-;-;-;-;-;1183;1183;-;-;-;44;133;301;728;1082;-;2288;-;-;-;-;8;74;284;1025;1;1392;-;-;-;2;8;-;-;-;2;12;967;4318;5246;21542;20750;21848;12086;5486;3097;95340
01.01.2022;05119;Oberhausen, kreisfreie Stadt;942;4326;4369;23862;17093;18280;9260;2775;1563;82470;87;530;1916;3807;7381;6884;2770;968;262;24605;9;146;192;891;300;166;101;57;18;1880;-;-;-;-;-;-;-;-;1081;1081;-;-;-;33;122;290;709;1180;2;2336;-;-;-;-;5;57;208;776;1;1047;-;-;-;-;9;1;-;-;4;14;1038;5002;6477;28593;24910;25678;13048;5756;2931;113433
01.01.2022;05120;Remscheid, kreisfreie Stadt;481;1963;1994;11369;9150;10701;5818;1735;1118;44329;34;293;1058;2209;4895;4479;1862;561;140;15531;2;49;69;285;104;85;65;32;8;699;-;-;-;-;-;-;-;-;701;701;-;-;-;9;81;238;469;725;-;1522;-;-;-;-;5;46;196;602;-;849;-;-;-;1;7;-;-;-;1;9;517;2305;3121;13873;14242;15549;8410;3655;1968;63640
01.01.2022;05122;Solingen, kreisfreie Stadt;774;3739;3399;18486;12959;14499;7523;5001;1861;68241;73;600;1761;3121;6744;5824;2294;1994;239;22650;5;91;117;494;192;127;73;38;9;1146;-;-;-;-;-;-;-;-;1563;1563;-;-;-;35;179;343;644;1566;1;2768;-;-;-;-;8;70;269;1138;-;1485;-;-;-;1;12;1;-;-;1;15;852;4430;5277;22137;20094;20864;10803;9737;3674;97868
01.01.2022;05124;Wuppertal, kreisfreie Stadt;1425;6425;6227;34188;24599;27613;14510;4528;3023;122538;140;942;3146;6599;13354;11976;5749;2132;476;44514;19;159;253;965;380;237;117;67;17;2214;-;-;-;-;-;-;-;-;2082;2082;-;-;-;56;274;675;1310;1920;-;4235;-;-;-;1;10;145;603;1716;2;2477;-;-;3;11;18;2;-;-;11;45;1584;7526;9629;41820;38635;40648;22289;10363;5611;178105
01.01.2022;05154;Kleve, Landkreis;1261;6107;6652;34197;24531;24895;12030;3320;2899;115892;289;1882;5661;10923;24062;19280;6208;2021;767;71093;45;506;572;2609;895;417;196;87;74;5401;-;-;-;-;-;-;-;-;2242;2242;-;-;-;46;233;551;1044;1438;3;3315;-;-;-;-;18;145;422;1201;-;1786;-;1;-;14;12;-;-;-;6;33;1595;8496;12885;47789;49751;45288;19900;8067;5991;199762
01.01.2022;05158;Mettmann, Landkreis;2206;10212;9567;53457;42027;47946;24252;7247;4820;201734;192;1662;5118;9615;23133;22060;11789;3972;702;78243;13;244;308;1411;570;432;205;108;43;3334;-;-;-;-;-;-;-;-;4409;4409;-;-;-;95;513;1313;2561;3547;2;8031;-;-;-;-;22;250;1070;3152;-;4494;-;-;-;10;22;1;-;-;6;39;2411;12118;14993;64588;66287;72002;39877;18026;9982;300284
01.01.2022;05162;Rhein-Kreis Neuss;2669;8795;8568;47942;38191;44510;22005;6234;7815;186729;323;1479;4984;9788;22541;20650;9855;3241;1149;74010;34;281;364;1445;560;385;182;88;49;3388;-;-;-;-;-;-;-;-;3401;3401;-;1;1;78;397;1083;2116;3108;1;6785;-;-;-;-;12;232;788;2447;-;3479;-;-;1;15;30;1;-;-;9;56;3026;10556;13918;59268;61731;66861;34946;15118;12424;277848
01.01.2022;05166;Viersen, Landkreis;1547;6561;6592;35476;26452;28618;13372;3566;3875;126059;193;1327;4097;7839;18012;15346;5737;1602;630;54783;23;369;458;1858;691;398;249;108;69;4223;-;-;-;-;-;-;-;-;2423;2423;-;-;-;44;192;448;1010;1426;-;3120;-;-;-;-;7;113;375;1277;2;1774;-;1;1;9;27;-;-;-;3;41;1763;8258;11148;45226;45381;44923;20743;7979;7002;192423
01.01.2022;05170;Wesel, Landkreis;2050;9635;10127;55588;41288;44455;22330;6284;3847;195604;237;1866;5675;11289;25711;22327;8359;2566;687;78717;27;480;608;2834;1030;574;289;110;74;6026;-;-;-;-;-;-;-;-;3497;3497;-;1;-;67;273;834;1763;3013;1;5952;-;-;-;-;7;219;616;2014;-;2856;1;-;-;6;25;-;-;-;10;42;2315;11982;16410;69784;68334;68409;33357;13987;8116;292694
01.01.2022;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;05314;Bonn, kreisfreie Stadt;2085;6058;5542;28247;20534;22541;11133;3471;4021;103632;242;1126;2957;6313;12602;16040;12457;4868;661;57266;10;107;147;642;232;180;180;53;22;1573;-;-;-;-;-;-;-;-;2430;2430;-;-;-;76;325;618;2514;3452;3;6988;-;-;-;-;20;165;811;1851;-;2847;-;-;-;10;14;-;-;-;3;27;2337;7291;8646;35288;33727;39544;27095;13695;7140;174763
01.01.2022;05315;Köln, kreisfreie Stadt;4632;16808;16846;88951;61409;67811;39119;13545;9805;318926;407;2976;8885;16804;33842;34935;21871;9153;1534;130407;63;437;512;2193;807;637;342;145;85;5221;-;-;-;-;-;-;1;-;6059;6060;-;-;-;175;868;2353;4766;13041;10;21213;-;-;-;-;23;409;2085;8337;3;10857;-;-;-;33;53;2;-;5;50;143;5102;20221;26243;108156;97002;106147;68184;44226;17546;492827
01.01.2022;05316;Leverkusen, kreisfreie Stadt;783;3174;3042;17166;12619;13612;7675;2492;1173;61736;52;544;1678;3376;6786;5983;3006;1105;217;22747;9;66;95;475;170;133;70;32;8;1058;-;-;-;-;-;-;-;-;1210;1210;-;-;-;28;144;459;800;1569;-;3000;-;-;-;-;5;70;337;1024;-;1436;-;-;1;3;9;-;-;-;4;17;844;3784;4816;21048;19733;20257;11888;6222;2612;91204
01.01.2022;05334;Städteregion Aachen, Landkreis;2227;9621;9832;51850;40121;46090;25184;8176;4693;197794;281;1858;5502;11620;25519;22327;9772;3037;924;80840;51;474;629;2385;813;649;264;120;78;5463;-;-;-;-;-;-;-;-;4262;4262;1;-;-;91;376;1014;2337;3329;2;7150;-;-;-;1;27;234;887;2751;-;3900;-;1;1;17;27;-;-;-;23;69;2560;11954;15964;65964;66883;70314;38444;17413;9982;299478
01.01.2022;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;05358;Düren, Landkreis;1302;5520;5571;29957;22390;24500;13458;3680;2691;109069;168;1241;3621;7224;15448;13186;4881;1461;526;47756;18;234;269;1031;364;310;166;101;22;2515;-;-;-;-;-;-;-;-;2414;2414;-;-;-;33;167;487;1064;1526;1;3278;-;-;-;-;13;85;342;1166;-;1606;1;2;1;6;24;-;-;-;18;52;1489;6997;9462;38251;38406;38568;19911;7934;5672;166690
01.01.2022;05362;Rhein-Erft-Kreis;2392;9381;9846;52776;40136;44719;24670;7073;4072;195065;275;1678;5760;10770;23432;20790;8952;2806;742;75205;19;242;330;1328;520;387;234;125;38;3223;-;-;-;-;-;-;-;-;3049;3049;-;-;1;77;397;974;2036;3682;1;7168;-;-;-;-;10;189;745;2365;-;3309;-;1;-;28;42;1;3;-;14;89;2686;11302;15937;64979;64537;67060;36640;16051;7916;287108
01.01.2022;05366;Euskirchen, Landkreis;944;3967;4005;21960;16507;18070;9139;7726;2107;84425;152;980;3236;6060;13963;11408;3757;2520;454;42530;7;168;187;717;303;179;96;53;22;1732;-;-;-;-;-;-;-;-;1543;1543;-;-;1;27;151;412;773;2556;-;3920;-;-;-;-;5;61;209;1357;-;1632;-;1;-;4;17;1;-;-;1;24;1103;5116;7429;28768;30946;30131;13974;14212;4127;135806
01.01.2022;05370;Heinsberg, Landkreis;1150;5365;5698;28745;20938;23132;11395;3375;2253;102051;189;1307;4076;7970;17207;14695;5028;1404;538;52414;33;421;518;1919;698;458;250;99;55;4451;-;-;-;-;-;-;-;-;1787;1787;-;-;-;41;189;492;1133;1491;-;3346;-;-;-;-;8;101;347;1301;-;1757;-;-;-;5;17;-;-;-;3;25;1372;7093;10292;38680;39057;38878;18153;7670;4636;165831
01.01.2022;05374;Oberbergischer Kreis;1379;5686;5390;32643;24819;26326;13340;3896;3018;116497;209;1306;4175;8221;18184;14877;5719;1643;530;54864;10;153;175;788;327;249;142;78;20;1942;-;-;-;-;-;-;-;-;1997;1997;-;-;-;30;182;534;1006;1828;2;3582;-;-;-;-;13;118;448;1469;-;2048;1;-;-;10;22;1;-;-;2;36;1599;7145;9740;41692;43547;42105;20655;8914;5569;180966
01.01.2022;05378;Rheinisch-Bergischer Kreis;1713;6473;5986;32283;25625;29366;15767;4628;3909;125750;192;1203;3363;6225;14911;12746;5263;1748;610;46261;15;191;198;802;327;236;145;71;27;2012;-;-;-;-;-;-;-;-;2763;2763;-;-;-;55;310;944;1250;2101;1;4661;-;-;-;1;15;164;580;1834;1;2595;-;-;-;9;10;-;-;-;10;29;1920;7867;9547;39375;41198;43456;23005;10382;7321;184071
01.01.2022;05382;Rhein-Sieg-Kreis;3164;13389;12660;68639;51934;56660;29103;8349;5644;249542;344;2566;8028;15064;34022;28250;11062;3411;987;103734;34;358;456;1884;761;576;282;113;48;4512;-;-;-;-;-;-;-;-;4414;4414;-;-;-;141;647;1491;2416;3488;4;8187;-;-;-;-;20;254;865;2902;1;4042;-;-;-;17;47;-;-;1;8;73;3542;16313;21144;85745;87431;87231;43728;18264;11106;374504
01.01.2022;05512;Bottrop, kreisfreie Stadt;656;2559;2575;13810;10407;11129;5971;1665;2371;51143;56;370;1152;2089;4404;4132;1836;547;231;14817;9;65;119;535;221;124;104;42;11;1230;-;-;-;-;-;-;-;-;713;713;-;-;-;6;79;199;381;768;-;1433;-;-;-;-;2;38;110;428;-;578;-;-;-;-;7;-;-;-;1;8;721;2994;3846;16440;15120;15622;8402;3450;3327;69922
01.01.2022;05513;Gelsenkirchen, kreisfreie Stadt;1260;4965;5230;26602;17845;18395;9506;3027;2722;89552;92;665;2351;4800;8268;7422;3016;1161;307;28082;8;168;253;1128;268;143;114;55;14;2151;-;-;-;-;-;-;-;-;1032;1032;-;-;1;25;154;389;867;1445;-;2881;-;-;-;-;2;63;269;865;-;1199;-;-;-;3;4;-;-;-;4;11;1360;5798;7835;32558;26541;26412;13772;6553;4079;124908
01.01.2022;05515;Münster, kreisfreie Stadt;1312;5320;4637;25498;19066;19961;9784;3754;2557;91889;198;1337;3132;5917;14177;13436;7279;3405;583;49464;19;172;165;710;269;172;71;35;19;1632;-;-;-;-;-;-;-;-;2847;2847;-;-;-;38;212;388;1104;1587;1;3330;-;-;-;-;11;132;442;1750;-;2335;-;-;-;5;18;-;-;-;11;34;1529;6829;7934;32168;33753;34089;18680;10531;6018;151531
01.01.2022;05554;Borken, Landkreis;1305;5996;6364;37937;28606;28324;12834;4471;3543;129380;220;1553;5705;12548;29964;25801;9001;3056;724;88572;30;387;457;2143;684;362;184;76;63;4386;-;-;-;-;-;-;-;-;3557;3557;-;-;-;31;162;376;1107;1549;-;3225;-;-;-;-;7;144;475;1956;1;2583;-;-;-;7;12;2;-;-;1;22;1555;7936;12526;52666;59435;55009;23601;11108;7889;231725
01.01.2022;05558;Coesfeld, Landkreis;937;4217;4225;24832;19072;18580;8750;2716;2171;85500;167;1173;3460;6804;17109;14104;4784;1592;487;49680;13;160;194;831;306;174;81;30;14;1803;-;-;-;-;-;-;-;-;2110;2110;-;-;-;27;238;573;744;1194;-;2776;-;-;-;1;11;59;268;907;1;1247;-;-;-;4;13;-;-;-;6;23;1117;5550;7879;32499;36749;33490;14627;6439;4789;143139
01.01.2022;05562;Recklinghausen, Landkreis;2664;13241;13154;73270;54726;56066;29551;8898;5256;256826;237;1970;6375;12200;27045;23860;9139;2720;786;84332;23;437;600;2539;801;501;256;140;38;5335;-;-;-;-;-;-;-;-;3388;3388;-;-;-;85;463;1314;2360;3678;2;7902;-;-;-;-;13;213;708;2331;1;3266;-;-;-;13;38;-;1;-;25;77;2924;15648;20129;88107;83086;81954;42015;17767;9496;361126
01.01.2022;05566;Steinfurt, Landkreis;1627;8230;7989;50919;36660;35190;16468;4715;4123;165921;310;2163;6950;14630;34228;28239;9791;2854;957;100122;28;315;353;1626;403;245;134;64;55;3223;-;-;-;-;-;-;-;-;4073;4073;-;-;-;46;262;779;1485;2154;1;4727;-;-;-;-;21;166;518;2227;-;2932;-;-;-;7;10;-;1;-;20;38;1965;10708;15292;67228;71584;64619;28397;12014;9229;281036
01.01.2022;05570;Warendorf, Landkreis;1447;6057;5660;33287;23920;23197;10544;3744;3021;110877;222;1448;4326;8631;19293;15433;5172;1678;594;56797;12;143;193;892;280;134;76;44;25;1799;-;-;-;-;-;-;-;-;2362;2362;-;-;-;32;213;446;921;1315;-;2927;-;-;-;-;9;113;359;1099;-;1580;-;-;-;9;8;-;-;-;1;18;1681;7648;10179;42851;43723;39323;17072;7880;6003;176360
